Algorithm,Connectivity,Steps,File,Start
Tremaux,0,393,M0_1.mz,"[0, 1"]
Modified,0,19,M0_1.mz,"[0, 1"]
Tremaux,0,43,M0_1.mz,"[1, 14"]
Modified,0,21,M0_1.mz,"[1, 14"]
Tremaux,0,253,M0_1.mz,"[2, 3"]
Modified,0,19,M0_1.mz,"[2, 3"]
Tremaux,0,721,M0_1.mz,"[3, 12"]
Modified,0,19,M0_1.mz,"[3, 12"]
Tremaux,0,539,M0_1.mz,"[6, 7"]
Modified,0,9,M0_1.mz,"[6, 7"]
Tremaux,0,187,M0_1.mz,"[7, 6"]
Modified,0,7,M0_1.mz,"[7, 6"]
Tremaux,0,439,M0_1.mz,"[7, 8"]
Modified,0,7,M0_1.mz,"[7, 8"]
Tremaux,0,787,M0_1.mz,"[8, 7"]
Modified,0,5,M0_1.mz,"[8, 7"]
Tremaux,0,53,M0_1.mz,"[11, 2"]
Modified,0,11,M0_1.mz,"[11, 2"]
Tremaux,0,785,M0_1.mz,"[12, 11"]
Modified,0,9,M0_1.mz,"[12, 11"]
Tremaux,0,693,M0_1.mz,"[13, 0"]
Modified,0,13,M0_1.mz,"[13, 0"]
Tremaux,0,463,M0_1.mz,"[14, 13"]
Modified,0,17,M0_1.mz,"[14, 13"]
Tremaux,0,247,M0_10.mz,"[0, 1"]
Modified,0,17,M0_10.mz,"[0, 1"]
Tremaux,0,229,M0_10.mz,"[1, 14"]
Modified,0,19,M0_10.mz,"[1, 14"]
Tremaux,0,461,M0_10.mz,"[2, 3"]
Modified,0,11,M0_10.mz,"[2, 3"]
Tremaux,0,623,M0_10.mz,"[3, 12"]
Modified,0,7,M0_10.mz,"[3, 12"]
Tremaux,0,19,M0_10.mz,"[6, 7"]
Modified,0,5,M0_10.mz,"[6, 7"]
Tremaux,0,99,M0_10.mz,"[7, 6"]
Modified,0,7,M0_10.mz,"[7, 6"]
Tremaux,0,3,M0_10.mz,"[7, 8"]
Modified,0,3,M0_10.mz,"[7, 8"]
Tremaux,0,603,M0_10.mz,"[8, 7"]
Modified,0,5,M0_10.mz,"[8, 7"]
Tremaux,0,433,M0_10.mz,"[11, 2"]
Modified,0,15,M0_10.mz,"[11, 2"]
Tremaux,0,481,M0_10.mz,"[12, 11"]
Modified,0,11,M0_10.mz,"[12, 11"]
Tremaux,0,243,M0_10.mz,"[13, 0"]
Modified,0,19,M0_10.mz,"[13, 0"]
Tremaux,0,451,M0_10.mz,"[14, 13"]
Modified,0,19,M0_10.mz,"[14, 13"]
Tremaux,0,609,M0_2.mz,"[0, 1"]
Modified,0,11,M0_2.mz,"[0, 1"]
Tremaux,0,161,M0_2.mz,"[1, 14"]
Modified,0,423,M0_2.mz,"[1, 14"]
Tremaux,0,133,M0_2.mz,"[2, 3"]
Modified,0,11,M0_2.mz,"[2, 3"]
Tremaux,0,683,M0_2.mz,"[3, 12"]
Modified,0,289,M0_2.mz,"[3, 12"]
Tremaux,0,143,M0_2.mz,"[6, 7"]
Modified,0,275,M0_2.mz,"[6, 7"]
Tremaux,0,231,M0_2.mz,"[7, 6"]
Modified,0,173,M0_2.mz,"[7, 6"]
Tremaux,0,577,M0_2.mz,"[7, 8"]
Modified,0,15,M0_2.mz,"[7, 8"]
